Unix Time,Run time (s),Latitude,Longitude,True Heading (degrees),Target Heading (degrees),Real Left Wheel Speed (mph),Real Right Wheel Speed (mph),Target Left Speed (mph),Target Right Speed (mph),Heading Accuracy (deg),GPS Accuracy (mm),Fix Type
1659476403,0,40.4717518,-86.9951964,165.33,165.66,1.96,1.96,1.0,0.99,1.1,498,RTK float,
1659476403,0,40.4717518,-86.9951964,165.33,165.66,2.0,2.0,1.0,0.99,1.1,498,RTK float,
1659476403,0,40.4717465,-86.9951946,165.74,165.62,1.98,1.98,1.0,0.99,1.1,497,RTK float,
1659476403,0,40.4717465,-86.9951946,165.74,165.62,1.92,1.92,1.0,0.995,1.1,497,RTK float,
1659476403,0,40.4717465,-86.9951946,165.74,165.62,1.98,1.98,1.0,0.995,1.1,497,RTK float,
1659476403,0,40.4717418,-86.995193,164.85,165.76,1.94,1.94,1.0,0.995,1.08,498,RTK float,
1659476403,0,40.4717418,-86.995193,164.85,165.76,1.96,1.96,1.0,0.975,1.08,498,RTK float,
1659476403,0,40.4717418,-86.995193,164.85,165.76,2.02,2.02,1.0,0.975,1.08,498,RTK float,
1659476403,0,40.4717373,-86.9951911,163.89,166.58,2.0,2.0,1.0,0.975,1.09,500,RTK float,
1659476403,0,40.4717373,-86.9951911,163.89,166.58,1.94,1.94,1.0,0.94,1.09,500,RTK float,
1659476403,0,40.4717373,-86.9951911,163.89,166.58,1.96,1.96,1.0,0.94,1.09,500,RTK float,
1659476403,0,40.4717347,-86.9951897,163.75,166.58,1.96,1.96,1.0,0.94,1.1,500,RTK float,
1659476403,0,40.471733,-86.995189,164.72,167.92,1.86,1.86,1.0,0.915,1.1,503,RTK float,
1659476403,0,40.471733,-86.995189,164.72,167.92,1.86,1.86,1.0,0.915,1.1,503,RTK float,
1659476403,0,40.4717284,-86.9951874,165.64,167.92,1.88,1.88,1.0,0.915,1.1,656,RTK float,
1659476403,0,40.4717284,-86.9951874,165.64,169.83,1.86,1.86,0.3,0.27,1.1,656,RTK float,
1659476403,0,40.4717284,-86.9951874,165.64,169.83,1.86,1.86,0.3,0.27,1.1,656,RTK float,
1659476403,0,40.4717239,-86.9951862,166.35,169.83,1.86,1.86,0.3,0.27,1.11,511,RTK float,
1659476403,0,40.4717239,-86.9951862,166.35,170.68,0.74,0.74,0.3,0.27,1.11,511,RTK float,
1659476403,0,40.4717239,-86.9951862,166.35,170.68,0.74,0.74,0.3,0.27,1.11,511,RTK float,
1659476403,0,40.4717237,-86.9951861,166.79,170.68,0.72,0.72,0.3,0.27,1.1,506,RTK float,
1659476403,0,40.4717224,-86.995186,166.76,169.83,0.4,0.4,0.3,0.27,1.09,507,RTK float,
1659476403,0,40.4717224,-86.995186,166.76,169.83,0.6,0.6,0.3,0.275,1.09,507,RTK float,
1659476403,0,40.4717224,-86.995186,166.76,169.83,0.66,0.66,0.3,0.275,1.09,507,RTK float,
1659476403,0,40.4717209,-86.9951856,167.0,169.83,0.66,0.66,0.3,0.275,1.09,503,RTK float,
1659476403,0,40.4717209,-86.9951856,167.0,170.31,0.52,0.52,0.3,0.275,1.09,503,RTK float,
1659476403,0,40.4717209,-86.9951856,167.0,170.31,0.6,0.6,0.3,0.275,1.09,503,RTK float,
1659476403,0,40.4717206,-86.9951855,167.1,170.31,0.6,0.6,0.3,0.275,1.08,503,RTK float,
1659476403,0,40.4717196,-86.9951854,167.56,169.75,0.57,0.57,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717196,-86.9951854,167.56,169.75,0.7,0.7,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717196,-86.9951854,167.56,169.75,0.4,0.4,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717196,-86.9951854,167.56,169.75,0.4,0.4,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717196,-86.9951854,167.56,169.75,0.0,0.0,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717185,-86.9951852,167.77,169.75,0.0,0.0,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717185,-86.9951852,167.77,169.75,0.0,0.0,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717185,-86.9951852,167.77,169.75,0.0,0.0,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717185,-86.9951852,167.77,169.75,0.0,0.0,0.0,0.0,1.09,501,RTK float,
1659476403,0,40.4717185,-86.9951852,167.77,169.75,0.0,0.0,0.3,0.285,1.09,501,RTK float,
1659476403,0,40.4717185,-86.9951852,167.77,169.75,0.0,0.0,0.3,0.285,1.09,501,RTK float,
