1,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
1,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
2,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
2,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
3,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
3,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
4,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
4,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
5,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
5,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
6,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
6,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
7,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
7,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
8,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
8,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
9,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
9,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
10,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
10,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
11,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
11,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
12,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
12,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
13,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
13,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
14,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
14,0,-64,0,-45,0,40.421779,-86.91931,-1.0,-1.0,0,0,
